Timestamp_ms, Gyro_X_dps, Gyro_Y_dps, Gyro_Z_dps, Mag_X_uT, Mag_Y_uT, Mag_Z_uT, Temperature_C
1774480211034,-1.032774,0.651677,0.350610,0.000000,0.000000,0.000000,0.000000
1774480212034,-1.013720,0.628811,0.320122,0.000000,0.000000,0.000000,0.000000
1774480213034,-1.009909,0.628811,0.350610,0.000000,0.000000,0.000000,0.000000
1774480214034,-1.032774,0.651677,0.342988,0.000000,0.000000,0.000000,0.000000
1774480215034,-1.017531,0.644055,0.316311,0.000000,0.000000,0.000000,0.000000
1774480216034,-1.021341,0.655488,0.342988,0.000000,0.000000,0.000000,0.000000
1774480217035,-1.028963,0.655488,0.327744,0.000000,0.000000,0.000000,0.000000
1774480218035,-1.017531,0.655488,0.373476,0.000000,0.000000,0.000000,0.000000
1774480219035,-1.017531,0.636433,0.323933,0.000000,0.000000,0.000000,0.000000
1774480220035,-1.017531,0.663110,0.365854,0.000000,0.000000,0.000000,0.000000
1774480221035,-0.990854,0.655488,0.339177,0.000000,0.000000,0.000000,0.000000
1774480222035,-1.013720,0.632622,0.327744,0.000000,0.000000,0.000000,0.000000
1774480223035,-1.009909,0.659299,0.312500,0.000000,0.000000,0.000000,0.000000
1774480224035,-0.983232,0.636433,0.342988,0.000000,0.000000,0.000000,0.000000
1774480225035,-0.975610,0.640244,0.331555,0.000000,0.000000,0.000000,0.000000
1774480226035,-1.021341,0.659299,0.335366,0.000000,0.000000,0.000000,0.000000
1774480227036,-1.009909,0.651677,0.331555,0.000000,0.000000,0.000000,0.000000
1774480228036,-1.013720,0.659299,0.354421,0.000000,0.000000,0.000000,0.000000
1774480229036,-0.983232,0.636433,0.331555,0.000000,0.000000,0.000000,0.000000
1774480230036,-1.013720,0.647866,0.350610,0.000000,0.000000,0.000000,0.000000
1774480231036,-0.994665,0.651677,0.301067,0.000000,0.000000,0.000000,0.000000
1774480232036,-1.021341,0.632622,0.323933,0.000000,0.000000,0.000000,0.000000
1774480233036,-0.994665,0.647866,0.342988,0.000000,0.000000,0.000000,0.000000
1774480234036,-1.009909,0.651677,0.339177,0.000000,0.000000,0.000000,0.000000
1774480235037,-0.967988,0.644055,0.331555,0.000000,0.000000,0.000000,0.000000
1774480236037,-1.013720,0.640244,0.335366,0.000000,0.000000,0.000000,0.000000
1774480237037,-1.032774,0.647866,0.335366,0.000000,0.000000,0.000000,0.000000
1774480238037,-1.017531,0.655488,0.316311,0.000000,0.000000,0.000000,0.000000
1774480239037,-0.994665,0.621189,0.362043,0.000000,0.000000,0.000000,0.000000
1774480240037,-0.990854,0.644055,0.331555,0.000000,0.000000,0.000000,0.000000
1774480241037,-0.998476,0.663110,0.350610,0.000000,0.000000,0.000000,0.000000
1774480242037,-1.017531,0.663110,0.327744,0.000000,0.000000,0.000000,0.000000
1774480243037,-1.006098,0.644055,0.327744,0.000000,0.000000,0.000000,0.000000
1774480244037,-1.002287,0.647866,0.346799,0.000000,0.000000,0.000000,0.000000
1774480245038,-0.990854,0.655488,0.346799,0.000000,0.000000,0.000000,0.000000
1774480246038,-0.998476,0.640244,0.339177,0.000000,0.000000,0.000000,0.000000
1774480247038,-1.009909,0.640244,0.342988,0.000000,0.000000,0.000000,0.000000
1774480248038,-1.025152,0.647866,0.327744,0.000000,0.000000,0.000000,0.000000
1774480249038,-1.009909,0.655488,0.342988,0.000000,0.000000,0.000000,0.000000
1774480250038,-1.013720,0.647866,0.331555,0.000000,0.000000,0.000000,0.000000
